status,tool,dbms,run,bug_id,first_seen_hours,first_seen_hours_rounded,log_path,validation_file,match_strength,reason,stack_top,sql_excerpt
counted_feedback_match,SQLeek,MySQL,r1,MY-GIS-CACHED-STR,1.971944,1.971944,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd1/logSaved/id_000000_20260602_18h35m10s/griffin.log,mysql_9_7_0_gis_group_by_cached_item_str_crash.sql,feedback-family-stack-match,,[force_exit_all] #0 0x555f60e208eb (_ZN6String4copyERKS_+0x7b),"SELECT ST_ASTEXT ( ST_TRANSFORM ( ST_GEOMFROMTEXT ( 'POINT(0 0)' , 4326 ) , 1000004326 ) ) AS lon_should_be_minus_180 GROUP BY 1 , 1 ; child 11417 stoped signal number=11"
counted_feedback_match,SQLeek,MySQL,r2,MY-REGEXP-AVG-FILESORT,0.877500,0.8775,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd2/logSaved/id_000000_20260531_17h25m02s/griffin.log,mysql_9_7_0_regexp_avg_filesort_crash.sql,exact-poc-and-stack,,[force_exit_all] #0 0x632013bf2d2e (_Z17my_decimal2binaryjPK10my_decimalPhii+0x8e),"SELECT id , CHAR_LENGTH ( regexp_like ( 'abad' , regexp_instr ( '' , '(((((){150}){11}){160}){11}){160}' ) ) ) AS l FROM ( SELECT 'a' AS id , REPEAT ( 'foo bar' , 100 ) AS body UNION ALL SELECT 'a' AS id , JSON_VALUE ( JSON_OBJECT ( 'a' , NULL ) , '$.a' ) ) t1"
counted_feedback_match,SQLeek,MySQL,r2,MY-STR-TO-DATE-ST-X,3.280278,3.280278,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd2/logSaved/id_000001_20260531_19h49m12s/griffin.log,mysql_9_7_0_str_to_date_st_x_crash.sql,exact-stack-signature,,[force_exit_all] #0 0x5f363780d96e (_ZN25Item_func_str_to_temporal13eval_datetimeEP12Datetime_valj+0x36e),SELECT sec_to_time ( -3020399 ) = TIME ( '-838:59:59' ) ; SELECT sec_to_time ( -3020399 ) = '-838:59:59' ; SELECT time ( sec_to_time ( -3020399 ) ) = TIME ( '-838:59:59' ) ; SELECT time ( sec_to_time ( -3020399 ) ) = TIME ( '-838:59:58' ) ; SELECT STR_TO_DATE 
counted_feedback_match,SQLeek,MySQL,r2,MY-GIS-CACHED-STR,6.867500,6.8675,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd2/logSaved/id_000003_20260531_23h24m26s/griffin.log,mysql_9_7_0_gis_group_by_cached_item_str_crash.sql,feedback-family-stack-match,,[force_exit_all] #0 0x57f7249578eb (_ZN6String4copyERKS_+0x7b),"SELECT ST_ASTEXT ( ST_TRANSFORM ( ST_GEOMFROMTEXT ( 'POINT(0 0)' , 4326 ) , 1000004326 ) ) AS lon_should_be_minus_one ;  SELECT ST_ASTEXT ( ST_TRANSFORM ( ST_GEOMFROMTEXT ( 'POINT(0 0)' , 1000004326 ) , 4326 ) ) AS lon_should_be_minus_one ;  SELECT ST_ASTEXT ("
counted_feedback_match,SQLeek,MySQL,r2,MY-CACHED-DECIMAL-GROUP-BY,10.260278,10.260278,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd2/logSaved/id_000005_20260601_02h48m00s/griffin.log,mysql_9_7_0_decimal_group_by_cached_item_decimal_crash.sql,exact-poc-and-stack,,[force_exit_all] #0 0x622cf4b79027 (_ZN19Cached_item_decimal3cmpEv+0x457),"SELECT ROUND ( ST_DISTANCE ( ST_GEOMFROMTEXT ( 'POINT(0 0)' , 13001000 ) , ST_GEOMFROMTEXT ( 'POINT(45 0)' , 13001000 ) ) , 3 ) AS x GROUP BY regexp_like ( 'blah)' , '^(\\(+)?blah(?(1)(\\)))$' ) / 10 ORDER BY x LIMIT 10 ;child 38048 stoped signal number=11"
counted_feedback_match,SQLeek,MySQL,r3,MY-GIS-CACHED-STR,0.965000,0.965,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd3/logSaved/id_000000_20260629_12h18m54s/griffin.log,mysql_9_7_0_gis_group_by_cached_item_str_crash.sql,feedback-family-stack-match,,[force_exit_all] #0 0x61dfe36958eb (_ZN6String4copyERKS_+0x7b),"SELECT ST_ASTEXT ( ST_TRANSFORM ( ST_GEOMFROMTEXT ( 'POINT(-90 -90)' , 4326 ) , 1000004326 ) ) AS x GROUP BY rollup ( truncate ( 52.639999 , -2 ) , x , x ) ;child 5224 stoped signal number=11"
counted_feedback_match,SQLeek,MySQL,r3,MY-CACHED-DECIMAL-GROUP-BY,5.856111,5.856111,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd3/logSaved/id_000002_20260629_17h12m22s/griffin.log,mysql_9_7_0_decimal_group_by_cached_item_decimal_crash.sql,stack-match-same-top-cache-path,,[force_exit_all] #0 0x624e70688027 (_ZN19Cached_item_decimal3cmpEv+0x457),"SELECT ST_FRECHETDISTANCE ( NULL , NULL ) ; SELECT ST_FRECHETDISTANCE ( NULL , '' ) ; SELECT ROUND ( ST_FRECHETDISTANCE ( ( 1 , 2 , ( 3 , NULL ) ) IN ( ( 3 , 2 , ( 3 , 4 ) ) , ( 1 , 2 , ( 3 , 5 ) ) ) , ST_GEOMFROMTEXT ( 'LINESTRING(0 1,1 0,1 1,1 2,1 3)' , 0 ) "
counted_feedback_match,SQLeek,MySQL,r3,MY-ST-BUFFER-STRATEGY,10.266111,10.266111,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd3/logSaved/id_000006_20260629_21h36m58s/griffin.log,mysql_9_7_0_st_buffer_strategy_val_str_email_draft.sql,exact-stack-signature,,[force_exit_all] #0 0x6421231cc9d6 (_ZN25Item_func_buffer_strategy7val_strEP6String+0x106),"SELECT last_update FROM mysql . innodb_index_stats WHERE table_name = 'bug12429573' AND ST_ASTEXT ( ST_BUFFER ( ST_GEOMFROMTEXT ( 'LINESTRING(1 1, 3 9, 4 6)' ) , 1 , ST_BUFFER_STRATEGY ( ST_Y ( POINT ( 4 , 5 ) , pow ( 2 , 2048 ) ) ) , ST_BUFFER_STRATEGY ( 'Joi"
counted_feedback_match,SQLeek,MySQL,r4,MY-INTERVAL-DECIMAL-CMP,0.907222,0.907222,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd4/logSaved/id_000000_20260629_12h15m33s/griffin.log,mysql_9_7_0_interval_decimal_cmp_email_draft.sql,exact-stack-signature,,[force_exit_all] #0 0x5a4c8953b1ca (_Z11decimal_cmpPK9decimal_tS1_+0x1a),"WITH RECURSIVE x ( x ) AS ( SELECT convert_tz ( '1970-01-01 01:00:01' , 'MET' , 'UTC' ) UNION SELECT 1 - INTERVAL ( 3 , ST_ASWKB ( POLYGON ( LINESTRING ( POINT ( 0 , 0 ) , POINT ( 0 , 15 ) , POINT ( 15 , 15 ) , POINT ( 15 , 0 ) , POINT ( 0 , 0 ) ) , LINESTRING"
counted_feedback_match,SQLeek,MySQL,r4,MY-GIS-CACHED-STR,8.761111,8.761111,/root/dfuzz-griffin/griffin_output/griffin_mysql_sqleek_rnd4/logSaved/id_000010_20260629_20h06m47s/griffin.log,mysql_9_7_0_gis_group_by_cached_item_str_crash.sql,feedback-family-stack-match,,[force_exit_all] #0 0x613c90c8a8eb (_ZN6String4copyERKS_+0x7b),"SELECT ST_ASTEXT ( ST_TRANSFORM ( ST_GEOMFROMTEXT ( 'POINT(0 0)' , 4326 ) , 1000004326 ) ) AS x ; SELECT ST_ASTEXT ( ST_TRANSFORM ( ST_GEOMFROMTEXT ( 'POINT(0 0)' , 1000004326 ) , 4326 ) ) AS x ; SELECT ST_ASTEXT ( ST_TRANSFORM ( ST_GEOMFROMTEXT ( 'POINT(0 0)'"
